Sex,Weight,Height
F,81,179
F,78,174
F,76,167
F,75,172
F,71,166
F,70,173
F,68,178
F,69,171
F,67,169
F,66,170
F,64,165
F,65,166
F,64,172
F,65,171
F,63,168
F,62,166
F,64,165
F,66,164
F,63,170
F,63,169
F,62,165
F,63,163
F,65,160
F,62,175
F,62,171
F,62,168
F,62,166
F,62,167
F,62,166
F,62,164
F,61,175
F,60,170
F,61,165
F,60,174
F,59,172
F,61,167
F,62,162
F,59,172
F,59,170
F,59,166
F,59,164
F,59,159
F,59,157
F,59,157
F,58,169
F,58,169
F,58,166
F,58,161
F,57,168
F,57,167
F,57,167
F,57,163
F,57,162
F,56,170
F,56,166
F,56,165
F,56,165
F,56,163
F,56,162
F,56,161
F,56,160
F,55,174
F,55,165
F,55,165
F,55,165
F,55,164
F,55,162
F,55,160
F,55,155
F,54,176
F,54,174
F,54,171
F,54,164
F,54,163
F,54,161
F,54,160
F,53,169
F,53,165
F,53,165
F,53,164
F,53,162
F,53,162
F,53,161
F,53,158
F,52,169
F,52,164
F,52,163
F,52,163
F,52,159
F,52,158
F,52,152
F,51,163
F,51,161
F,51,156
F,50,171
F,50,169
F,55,168
F,50,166
F,50,160
F,50,158
F,50,148
F,49,161
F,48,163
F,47,163
F,47,162
F,47,153
F,47,150
F,45,163
F,45,157
F,44,152
F,43,154
F,39,157
M,109,180
M,103,185
M,102,185
M,101,183
M,97,189
M,96,191
M,96,184
M,92,187
M,90,188
M,90,181
M,89,173
M,88,189
M,88,185
M,88,184
M,88,178
M,87,185
M,85,191
M,85,179
M,84,184
M,84,183
M,83,184
M,83,180
M,83,177
M,82,182
M,82,181
M,82,176
M,81,178
M,81,175
M,80,178
M,78,175
M,80,176
M,79,179
M,79,177
M,79,173
M,78,183
M,78,178
M,77,182
M,76,189
M,76,183
M,76,170
M,76,169
M,76,167
M,75,178
M,75,172
M,75,169
M,74,175
M,74,169
M,73,183
M,73,180
M,71,180
M,71,178
M,69,176
M,71,177
M,70,175
M,70,173
M,67,171
M,69,186
M,69,183
M,69,182
M,69,180
M,69,174
M,69,172
M,69,167
M,68,177
M,68,174
M,68,165
M,67,179
M,67,179
M,66,175
M,66,173
M,65,175
M,66,170
M,65,187
M,65,178
M,65,176
M,65,175
M,65,171
M,64,177
M,64,176
M,64,176
M,62,178
M,62,168
M,61,170
M,59,182
M,57,173
M,56,163
M,55,168
M,54,169
